junit4:r3.8.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.6
junit4_newer;17;0;10;61;88;94;0;11;472;577;88;16;1;0;0;0;0;0;11;10;0;0;467;60;1;0
junit4:r4.7
junit4_newer;4;0;5;32;41;12;0;1;57;70;12;2;2;0;0;0;0;0;0;1;4;0;45;16;16;0
junit4:r4.8b1
junit4_newer;0;0;0;0;0;3;0;0;8;11;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
junit4:r4.8b2
junit4_newer;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.8b3
junit4_newer;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.8
junit4_newer;1;0;0;5;6;0;0;0;5;5;0;1;0;0;0;0;0;0;0;0;0;0;2;2;3;0
junit4:r4.8.1
junit4_newer;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.8.2
junit4_newer;0;0;0;3;3;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0
junit4:r4.9b1
junit4_newer;0;0;0;12;12;1;0;0;11;12;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;0
junit4:r4.9b3
junit4_newer;1;0;1;0;2;3;0;0;15;18;2;0;1;0;0;0;0;0;0;0;1;0;10;0;0;0
junit4:r4.9b4
junit4_newer;0;0;0;1;1;0;3;0;6;9;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;0
junit4:r4.9
junit4_newer;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.10
junit4_newer;0;0;0;2;2;2;0;0;17;19;2;0;0;0;0;0;0;0;0;0;0;0;13;1;1;0
junit4:r4.11-beta-1
junit4_newer;5;0;4;47;56;8;6;2;70;86;6;5;0;0;6;0;0;0;2;1;3;0;61;31;16;0
junit4:r4.11
junit4_newer;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
junit4:r4.12-beta-1
junit4_newer;1;5;1;63;70;39;0;5;143;187;33;0;1;5;0;5;0;0;5;1;0;0;136;45;18;0
junit4:r4.12-beta-2
junit4_newer;0;0;0;10;10;12;0;0;67;79;7;0;0;0;0;0;0;0;0;0;0;0;55;6;4;0
junit4:r4.12-beta-3
junit4_newer;0;0;2;1;3;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0
junit4:r4.12
junit4_newer;0;0;0;2;2;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
junit4:r4.13-beta-1
junit4_newer;2;0;0;19;21;30;0;6;141;177;25;0;2;0;0;0;0;0;6;0;0;0;119;8;11;0
junit4:r4.13-beta-2
